[00:00] 今夜我用尽所有。
[00:22] 上课了哎呀，休息时间太短暂哈，这天稍微有点怀念休息时光哈。嗯都没注意到到点儿了。好了，同学们到点了哈，来说一下我们今天的课程。首先呢今天呢我们是会讲行为主义。但是行为主义呢咱们应该。
[00:43] 讲到斯金娜的部分差不多哈，但斯金娜不一定讲完，顶多把它讲完，班杜拉应该是进行不到了哈。嗯，然后我们的第一章是不是还有一些遗留的部分啊？那第一章第一集还有一些遗留的部分，我们大体的去回顾一下哈。奥斯贝尔将我们学习从两个维度进行了划分，一个是学习方式，一个是新旧。
[01:06] 知识之间的一个关系。那从学习方式，我们可以把学习分为了哪两个维度？首先，强调内容以结论方式呈现的是我们的接受学习。那它以结论的方式呈现。那我们更多的是强调怎么去学呀，怎么去学呀？
[01:28] 直接去接受直接获得老师在这讲学生在那接受，直接获得结论性的知识哈那在这个学习的过程当中，他效率高不高，效率很高。因为成体系有组织，有目的性的学习，对吧？我们之前在讲学生学习的特点的时候。
[01:49] 还说过接受学习是咱们学生学习的一个主要方式，就是因为它效率比较高，但是相应的他忽视了学生的一个主动性，哎，很让他们自己积续主动发挥的角度会相应少一点哈。那第二个呢，我们将它分为了发现学习。发现学习呢强调内容不直接呈现。更多是谁？
[02:12] 哎进行发现的一个过程啊。对，更多是在这个过程当中，我们学生自己去独立思考，独立探索，独立发现的那既然是自己去探索发现，那就会比较慢。所以效率比较低。哎，但是能发挥他们的主动性，以他们为主体哈。第二个呢，我们强调的是新旧知识的关系。
[02:34] 那这个地方什么叫旧知识？就是已有的相关的经验和我们接下来要学习的新材料之间的关系哈。那这个地方呢我们强调分为了哪两个？一个是机械学习，一个是有意义学习？那刚刚在上课之前呢，有同学就。
[02:55] 不太理解这个机械和有意义哈。嗯，怎么判断机械和有意义呢？后面呢我们在讲奥苏贝尔的时候会跟大家说，什么叫做有意义学习，就是这个新知识和旧知识之间能建立联系。那你告诉我这个旧知识在哪儿啊？
[03:16] 就是这个个体，例如你是学习者，那你的已有知识，已有经验是什么？这就是相关的旧知识。那新知识是什么？接下来要学习的这个新材料，新内容，这是新知识。那如果我新旧建立不了联系是啥意思？就是我已有经验理解不了新。
[03:38] 给出的这个东西是什么意思？我不能理解，所以这就产生的是一个机械学习。那这个过程当中是不是没有搭建起联系。但是如果我能用已有的知识经验，理解新知识是啥意思，那联系建没建立起来，是不是就建立起来了？
[03:59] 那相应的我也就理解了哈也就理解了。所以机械和友意就是看我能不能用已有来理解新的，能不能搭建起这个联系，搭建不了，那就是不理解搭建得了，那就是理解哈。那同时呢我们这个地方强调它是非人为实质性的联系。我们说后边再讲。但是这个地方你首先要记住一点，什么叫非人为。
[04:23] 就是我们的有意义学习，它可以是这种人为赋予联系的情况吗？就例如他本来没有联系，但我人为的给他进行这种强行理解，可以吗？这种情况他不算哈不可以哎，他一定是本身的搭建的人本身有内在联系的哈嗯。
[04:44] 那同时呢我们有讲咱们在学习的过程当中更多强调先哪个学习后哪个学习啊。哎，我们是先这个机械，小的时候苹果香蕉梨啊，或者是背哪个单词啊，都是死记硬背。哎，那后来呢慢慢的能理解它说的是什么了。
[05:04] 慢慢进行的就是这种有意义的学习哈，所以是先机械后有意义。然后呢，在这个基础上呢，我们还要了解一些信息点是哪些呢？这两个划分的维度。因为我们在讲那个例子的时候，是不是分为了两个维度，一个维度呢强调是接受还是发现。
[05:24] 学习的方式的维度。一个维度呢强调他们的关系维度是机械的还是有意义的那这两个维度是互不依赖，完这两个维度它是完全独立的吗？互不依赖的吗？这个要清楚哈，我们强调它是完全彼此独立，它是互不依赖的。
[05:46] 有同学说不是，就是这个依不依赖呢？你要看什么东西呢？就是接受学习，它一定是机械的嘛？接受学习它一定是有意义的嘛。哎，我们强调接受学习，它既可以是机械的，也可以是有意义的。而发现学习呢也可以是机械的，也可以是有意义的。它们可以交叉。同时呢。
[06:08] 他们也都可以独立也都可以独立，哎，这就是他们之间的一个关系哈一个关系大家要清楚。那在这里边考试的时候，他会考相应的判断，怎么判断呢？就说接受学习都是机械的，对不对？你要知道它既可以是机械又可以是有意义的，发现学习哎一定是机械的嘛？那也不一定。
[06:31] 对不对？嗯？那同时呢他们有高低之分吗？就像最初问过大家的一个问题，我说发现学习好能发挥学生的独立性，就代表他更高级吗？哎，并非如此哈。反倒奥苏贝尔他更关注的是有意义的去接受。所以呢他们是无高低之分的。
[06:52] 那最后呢就是我们的奥苏贝尔，它更强调的是哪一个学习啊？同学们哎，我们的奥苏贝尔在这个地方，它更强调的哎是我们的有意义的接受哈。所以我们在这个过程当中强调哎，这句话要记住，每个学者强调的不一样。后面呢我们在学习的时候还会涉及到一个人叫布鲁纳。
[07:15] 那问他强调哪个，那就又变了样子了。不那在强调的过程当中呢，哎他又强调他们发现更为重要哈。所以每个学者的观点是不同的。好了，那这是他的一些基础实际考点，记住就可以了哈嗯这块别忘了，他们互不依赖彼此独立是啥意思？就是我既可以是接受，也可以是发现。
[07:38] 我不用非要跟他建立绝对的联系哈。嗯，好了，那看一下基础的考题。首先第一道题目定义实际就是我们刚刚说的接受就机械吗？发现就有意义吗？哎，我们说不对，他们啊彼此独立哈，彼此独立。
[07:59] 来再看第二个，涉及到例子分析题，同学们自己快去看一下哈。这道题应该选哪一个。首先小明听老师的讲解，那这是不是别人给的，已经是接受了。所以这个指定错。那还有呢他理解了理解代表他是一个什么样的过程。
[08:23] 有意学习还是机械学习的一个过程，有意学习的一个过程哈，所以答案选2B来第二题，幼儿能将乘法口诀。
[08:43] 背的滚瓜烂熟，能背下来。首先乘法口诀是不是外在给的呀？哎，所以呢它是一个接受但是它有很重要的一点，他不知道他们的关系，那不知道代表表理解还是不理解不理解因此它是一个机械的接受哈，就是我们死记硬背存在着背哈。
[09:07] 好了，这一个题比较简单哈，来再看下一个，这是我们的真题关于有意接受的有哪几个有哪个哈单项选择做的挺快的哈，心想事成。之前做过相关题吗？还反应的比较快哈，首先一个一个选项来看哈。第一个选项，科学家探索新材料是不是咱们讲过教材原理。
[09:30] 这就是咱们那几个例子当中的那他探索材料，首先是独立的发现，是有指导的发现，他要自己去探索，而不是别人给的是发现，而且更偏向于独立。因为科学家自己进行研究嘛，对不对？那同时呢在这里边他探索的内容，他研究发明的内容呢，一般偏向理解会更多一点，是吧？
[09:53] 哎，但是这里边强调的不是研究发明，是探索材料，咱就不稀究了，观看发现角度就没问题哈那第二个呢，儿童尝试迷宫，迷宫也不是别人给的吧，那不是别人给的，所以他应该是接受还是发现发现自己在那走迷宫呢，独立去做呢？嗯，小学生呢边打游失背。
[10:15] 圆周率首先这个圆周率是他自己发现的一个结果，还是别人给的一个结果，是别人给的一个结果接受的一个结果。那边打油是被圆周率，这个是不是代表有意义呀？这是不代表有意义啊？不代表为什么不代表？首先呢我们之前讲过。
[10:38] 咱们的意义实际别忘了哈，意义实际的时候，我们有两个角度，一个呢是本身有联系，我可以理解的情况。还有一个呢是本身没有联系，但是我人为的赋予联系，当时就给大家说过边口诀留3.1415926，记住这个圆周率，对吧？
[11:01] 所以在这个角度，它可以是一个意义的实际，它可以是意义的实际。可是我们的有意义学习强调可以人为赋予吗？人为赋予的情况它不算，所以呢它不能称之为有意义学习。
[11:21] 这两个要注意区分哈。嗯，所以它不是来第四个选项听讲座讲座别人给的吧，接受那能理解代表是有意义的接受，所以选择4D哈。这里边唯一对大家来说容易迷惑的一个选项就是C选项，能把它判断出来问题就不大哈嗯。
[11:42] 好了，那以上是我们学习的这几个分类。老师不是说的是理解新旧知识的关系吗？那怎么了呢？这个1738同学，你的问题点是什么？你能用已有经验来理解，这不就代表建立了新旧的联系吗？旧的知识不就是你的已有知识吗？
[12:04] 这块是不是没跟上节奏啊？咱们前面刚说哈新旧的联系，那这个旧的就是你的已有经验。那这个联系是本身人家内在有联系，你又能理解人家的联系，或者是和你已有经验能搭建联系的一个过程哈。嗯，好了，那我们一起来看一下哈。
[12:25] 嗯，首先呢在这里边加涅分为了哪几个？个别有问题我们课下再说哈，不耽误所有人时间，我们课下再单独去聊哈。首先呢在这里边学习结果分类，颜值态动人，包括哪几个言言语信息值智慧技能、态态度学习动。
[12:46] 动作技能人哎认知策略哈，颜值太动人。然后呢，就是我们学习水平分类，学习水平分类包括了哪几个心机所言，别念这题就是我们的信号学习刺激反应连锁言语连接辨别概念规则和解决问题学习这几个哈。那在这个地方呢，同学们一定要清楚。
[13:10] 一个点什么点呢？学习结果分类有高低之分吗？就这个言语信息智慧技能强调谁比谁更高吗？它是没有的。但是学习水平分类这个地方是从低到高的，考试的时候会考他们的顺序哈，从低到高。那信号呢强调刺激在前，反应在后，刺激反应呢强调反应在前，刺激在后。
[13:33] 但是在这里边它有几个行为反应，我们更多强调就一个哈一个。而连锁学习呢一连串的动作它是会有好几个的。就像咱同学在开课之前哈问的那个用钥匙开锁。那首先呢用钥匙开锁，你是不是先要对准锁养是一个动作。
[13:54] 第二个是扭钥匙，是第二个动作。那还有同学说有个掏钥匙的过程，那还有三个动作。所以像这种用钥匙开锁，它是一串的动作。但是刺激反应呢就例如你举手，这只有一个动作，然后我就表扬你举手这一个行为，你要注意区分它俩的一个不同哈，这是一连串的那言语联想呢。
[14:17] 它就不是动作层面了，它是语言层面连成串。我有好几个词，我把这个词一词二词三，我把它组成一句话。哎，那这时候连接在一起了，那辨别是啥意思？还记得不？哎，我们说做基础的区分分辨，也可以简单的区分一些外在的形状大小。
[14:40] 也可以区分一些易混淆的，像这两个单词特别容易混，我把它俩区分它俩不一样哈。那概念呢是比辨别更复杂的，它要求是干嘛？有共同本质。例如所有的鸟它都有什么样的特征，所有的猫有什么样的特征？然后在我们家涅这个地方的概念学习是啥意思呢？
[15:03] 我不只要有本质特征，他认为你既然达到了概念学习，那最终的学习结果是什么？最终达到的结果是什么？就是能利用概念，能运用概念，例如运用它来识别哪个属于马，哪个属于狗，利用它去归类。
